# x y z vx vy vz l b d mul mub vr tub tail
-4.077863289999999807e+01 1.257944359999999939e+01 6.498125599999999835e-01 -1.110042482443172884e-01 -1.430408018025134398e-01 1.060988538692726182e-03 2.775155799942649715e+00 1.850602469613038537e-02 3.511557250624965576e+01 1.091939856786092525e-02 4.508541577008711370e-05 -2.820542798297703477e-02 8.174607204330000343e+01 -1.000000000000000000e+00
-3.194058060000000143e+00 -2.322015909999999650e+01 2.321616869999999777e-01 2.954075139833966523e-01 3.291586264486497798e-02 -1.558291817597074738e-03 4.916480101785341894e+00 9.790460311950717823e-03 2.371343006839951428e+01 1.055765018873722552e-02 -1.680856019299121649e-04 2.479395271637986065e-01 1.036779554052000094e+03 1.000000000000000000e+00
-1.444472339999999910e+00 -2.343339179999999544e+01 -1.573081469999999815e-01 2.935408179769870562e-01 4.823761806425403559e-02 6.266343703804009820e-04 4.985167280296519898e+00 -6.464695550050759618e-03 2.433358872025342379e+01 9.660394781970333203e-03 9.198382061787911332e-05 2.492965880515822241e-01 9.969034991579999883e+01 1.000000000000000000e+00
-3.905360619999999727e+01 1.639578389999999786e+01 -2.871969999999999801e-01 -1.294871751469807986e-01 -1.306815468062937358e-01 -3.977807719361596637e-04 2.655809867268118740e+00 -8.178291420162717845e-03 3.511738415424739657e+01 1.067846942264243960e-02 -2.333410202795810752e-05 -5.155467416989843732e-02 3.688541723970000135e+02 -1.000000000000000000e+00
-4.513348799999999272e+01 7.607233199999999806e-01 4.884056099999999345e-01 -7.975453430681095357e-03 -1.597091953763574157e-01 -5.383570044874759790e-04 3.121109338751091755e+00 1.314918252001648705e-02 3.714449045357352475e+01 1.036013106870363812e-02 -1.452571095487834038e-05 8.719300515126919885e-05 1.519280775333000065e+03 -1.000000000000000000e+00
-4.427967999999999904e+01 3.797857609999999884e+00 -3.314909560000000033e-01 -4.007099691180397022e-02 -1.597588671850020958e-01 -1.234567976046732803e-03 3.037289771158734553e+00 -9.087190266748243483e-03 3.647942967731464847e+01 1.060467411674013462e-02 -3.389256135172160326e-05 -1.939332813531319559e-04 2.352692024064000123e+02 -1.000000000000000000e+00
-4.502185999999999666e+01 -9.360141099999998993e-01 2.493723509999999643e-01 1.890504831653820996e-03 -1.613531850547863244e-01 -1.054472651974226001e-03 3.166870009933923757e+00 6.733560116682094088e-03 3.703453019606380536e+01 1.043034640442691043e-02 -2.990384573656536631e-05 7.867683444666801959e-03 2.077546607252999820e+03 -1.000000000000000000e+00
-3.857357999999999265e+01 -1.525546259999999954e+01 -5.462977999999999446e-01 1.252251042877401133e-01 -1.387578982211840339e-01 1.916257828633332239e-04 3.604420201919607436e+00 -1.598707598422189485e-02 3.417266999288587925e+01 1.116226861436588579e-02 2.916518379942959402e-05 5.034900342970310971e-02 5.656429313190000357e+03 -1.000000000000000000e+00
-1.968055389999999738e+00 -2.335949199999999948e+01 3.993583289999999564e-02 2.949908595416229073e-01 4.284231505617808189e-02 2.184724977525004386e-03 4.965091297252156366e+00 1.655320601341857658e-03 2.412575008464859039e+01 9.951188719284582984e-03 7.339411455368691217e-05 2.501264871502986153e-01 9.969034991579999883e+01 1.000000000000000000e+00
8.758119599999998783e+00 -2.000697119999999884e+01 3.193106470000000030e-01 2.837953741005299624e-01 1.202669487795795245e-01 4.160446641163658668e-04 5.409648251515805306e+00 1.223438086576936722e-02 2.610010399241392420e+01 5.759411250078953944e-03 -1.071120691593714809e-04 2.625021844015242856e-01 3.588852915990000270e+02 1.000000000000000000e+00
