# x y z vx vy vz l b d mul mub vr tub tail
-5.809551713014876384e+00 -2.349196674271458818e+01 9.864797535848711385e-02 2.958648433510110420e-01 5.675359255281398063e-03 -4.645206503665142393e-03 4.805362599434682025e+00 4.181061123766201953e-03 2.359407333551811092e+01 1.162273607098623235e-02 -2.404435916318999804e-04 2.458205246234451691e-01 8.493617770290001090e+02 1.000000000000000000e+00
-4.478791656760361661e+01 2.761633980478094941e+00 -2.474218010308783799e-01 -7.017023324561032400e-03 -1.559534512969233400e-01 -1.294042173452884803e-02 3.066664141594178439e+00 -6.706655387198281852e-03 3.689225725236558873e+01 1.031151558877166190e-02 -3.546667447127693795e-04 -2.143271962987634838e-02 1.393670963151000024e+03 -1.000000000000000000e+00
-4.334995052811320448e+01 2.600371645192007364e+00 -1.939498263879210482e-01 -3.046880035237199344e-02 -1.399275478017480423e-01 -4.919461958458901628e-03 3.068164080055145959e+00 -5.471726635516348421e-03 3.544599485933954242e+01 1.033069120320679983e-02 -1.382274263108298617e-04 3.641768537848107286e-03 6.699189983040000698e+02 -1.000000000000000000e+00
-4.239171147670963791e+01 1.353451149922302754e+01 -3.732515876100098717e-01 -9.008637542490231798e-02 -1.347339317458970953e-01 -3.278540322097289739e-03 2.766667683435613867e+00 -1.009870929684440408e-02 3.696095421613861731e+01 9.949704832023203993e-03 -1.017871872361619519e-04 -4.787023865934158379e-02 1.595045385972000304e+03 -1.000000000000000000e+00
6.814451685053025898e+00 -2.038917998504490470e+01 -9.978457303208655704e-02 3.043799740878970761e-01 1.055004469814324469e-01 9.770675612837349810e-03 5.340734645827416749e+00 -3.959227496146086080e-03 2.520310687499343771e+01 6.983438702690258210e-03 4.309673816758434733e-04 2.755484718263243038e-01 3.987613464930000760e+02 1.000000000000000000e+00
-4.426793457029435075e+01 -4.954244846403364377e+00 -5.874203302039388008e-01 4.878533545763255597e-02 -1.541073839747749141e-01 1.777866330004813315e-03 3.277353626517045537e+00 -1.604627636868164592e-02 3.660946165457234969e+01 1.044177638951582394e-02 4.985987555981782904e-05 2.944228700999257028e-03 3.620752377480000632e+03 -1.000000000000000000e+00
-2.545820973682381094e+01 -2.057041041447193663e+01 -1.489911422651612194e-01 2.413192979193059529e-01 -1.002784578192136844e-01 3.769436929876774679e-03 4.008647223236243562e+00 -5.522185178745521623e-03 2.698060544530494198e+01 1.462056209560167255e-02 1.585053761962403930e-04 9.182442115273628525e-02 3.794214837959999841e+03 1.000000000000000000e+00
-4.275578237916152347e+01 -9.154582560633373944e+00 3.230404076542894853e-01 7.071214345490899056e-02 -1.641247592932565391e-01 -1.088825047292465292e-02 3.399140344502103783e+00 8.987779832141032724e-03 3.594266470021477033e+01 1.097064602548812433e-02 -3.106066368705731520e-04 3.063409747686165682e-02 4.396343426370000088e+03 -1.000000000000000000e+00
-4.114756442212630105e+01 1.272102783602267628e+01 6.571255109478748579e-01 -1.242772974560474725e-01 -1.516421227594258458e-01 1.690875217733612754e-02 2.775155812439356051e+00 1.850600090370802323e-02 3.551080666868912061e+01 1.115798409928537606e-02 4.859356533525556530e-04 -1.860368189404731226e-02 8.174607204330000343e+01 -1.000000000000000000e+00
-3.278251021649414731e+00 -2.281337740927532565e+01 2.280950220210497259e-01 2.991157568331394012e-01 4.582222028709898032e-02 -1.591349396980391850e-02 4.916480093138481777e+00 9.790479766735280670e-03 2.329800698711500218e+01 1.101405396460392733e-02 -7.822140482702641309e-04 2.359126349696420988e-01 1.036779554052000094e+03 1.000000000000000000e+00
-1.301859279297396199e+00 -2.394317823672121648e+01 -1.607305865334327233e-01 3.035991033284724527e-01 4.493287353348004998e-02 -7.093087741161017631e-03 4.985167261520060400e+00 -6.464705550394691039e-03 2.486295854300493957e+01 9.808499998554875976e-03 -2.189268786957988323e-04 2.552387040284522235e-01 9.969034991579999883e+01 1.000000000000000000e+00
-3.904094016416161850e+01 1.638909670514440720e+01 -2.870797338920321740e-01 -1.433878724876408994e-01 -1.304701282310661847e-01 2.057415204671177514e-03 2.655809860720535376e+00 -8.178287825249808823e-03 3.510306071924852489e+01 1.086239780289947887e-02 4.948341594055016422e-05 -3.918393664236487911e-02 3.688541723970000135e+02 -1.000000000000000000e+00
-4.394225325332019594e+01 7.363198525862227894e-01 4.727375057991970997e-01 -1.759329397282518095e-02 -1.479970185472054833e-01 -1.273390649209487149e-02 3.121109328125867943e+00 1.314917830330243100e-02 3.595290275625193743e+01 1.038325245736084791e-02 -3.577913059582064599e-04 9.781690571894137085e-03 1.519280775333000065e+03 -1.000000000000000000e+00
-4.417718151707900631e+01 3.787127663190386073e+00 -3.305542755481168937e-01 -3.207560075635913083e-02 -1.552474588657707377e-01 -8.710784725014950047e-03 3.037289774469732251e+00 -9.087186370024622623e-03 3.637636684148195343e+01 1.048848345926647538e-02 -2.413732249476804588e-04 -7.607930344900643363e-03 2.352692024064000123e+02 -1.000000000000000000e+00
-4.532591437776383003e+01 -9.437017678591779202e-01 2.514203946464655393e-01 5.605028112583467469e-03 -1.565788331152909718e-01 -4.832523335960297803e-03 3.166870018760628014e+00 6.733559847625145492e-03 3.733868864030525714e+01 1.022006779663037386e-02 -1.301498202163577816e-04 4.008327392544126441e-03 2.077546607252999820e+03 -1.000000000000000000e+00
